Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
Kepler-1992 b;Kepler-1992;Раскаленный каменистый мир;1.02;0.91;7.48;637;15.61;0.117;0.576;0.535;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-5489 b;TOI-5489;Раскаленный каменистый мир;3.15;1.40;6.32;573;3.15;0.031;0.955;0.536;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1907 c;Kepler-1907;Раскаленный каменистый мир;1.62;1.16;5.77;620;14.86;0.108;0.996;0.537;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1049 b;Kepler-1049;Раскаленный каменистый мир;1.04;0.95;6.66;642;3.27;0.034;0.754;0.538;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-151Bb;K2-151 B;Раскаленный каменистый мир;3.49;1.49;5.80;551;3.84;0.037;0.917;0.541;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1424 b;Kepler-1424;Раскаленный каменистый мир;2.23;1.16;7.86;613;29.61;0.189;0.580;0.542;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1904 b;Kepler-1904;Раскаленный каменистый мир;2.83;1.39;5.80;566;4.58;0.044;0.943;0.542;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-295 c;Kepler-295;Раскаленный каменистый мир;1.92;1.17;6.60;609;21.53;0.148;0.836;0.543;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1246 b;Kepler-1246;Раскаленный каменистый мир;2.95;1.36;6.46;566;11.32;0.089;0.917;0.546;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-190 c;K2-190;Раскаленный каменистый мир;1.52;1.09;6.43;619;21.57;0.147;0.846;0.547;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1008 Ab;Kepler-1008 A;Раскаленный каменистый мир;2.88;1.30;7.22;576;12.44;0.100;0.748;0.547;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1246 Ab;Kepler-1246 A;Раскаленный каменистый мир;2.84;1.36;6.28;565;11.32;0.089;0.951;0.548;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1841 b;Kepler-1841;Раскаленный каменистый мир;3.98;1.49;6.63;541;25.89;0.160;0.915;0.548;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-352 c;Kepler-352;Раскаленный каменистый мир;2.25;1.24;6.50;587;16.33;0.120;0.875;0.548;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-384 b;K2-384;Раскаленный каменистый мир;1.70;1.08;7.53;620;2.23;0.023;0.620;0.549;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2019-BLG-1053L b;OGLE-2019-BLG-1053L;Раскаленный каменистый мир;2.48;1.37;5.33;556;7.09;0.061;0.855;0.552;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1347 b;Kepler-1347;Раскаленный каменистый мир;1.23;1.03;6.22;623;14.01;0.106;0.868;0.554;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-381 b;K2-381;Раскаленный каменистый мир;1.17;1.07;5.17;608;7.94;0.071;0.908;0.557;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1347 Ab;Kepler-1347 A;Раскаленный каменистый мир;1.37;1.03;6.90;618;14.01;0.106;0.733;0.557;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-136 Ab;K2-136 A;Раскаленный каменистый мир;1.38;0.99;7.93;621;7.98;0.071;0.512;0.558;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1124 b;Kepler-1124;Раскаленный каменистый мир;2.59;1.28;6.82;564;2.85;0.028;0.823;0.558;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-252 b;Kepler-252;Раскаленный каменистый мир;1.94;1.23;5.74;572;6.67;0.058;0.976;0.560;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-384 b;Kepler-384;Раскаленный каменистый мир;1.71;1.12;6.71;591;22.60;0.152;0.799;0.562;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-399 b;Kepler-399;Раскаленный каменистый мир;1.23;0.96;7.64;608;14.43;0.108;0.560;0.563;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-85 e;Kepler-85;Раскаленный каменистый мир;2.72;1.27;7.33;560;25.22;0.164;0.718;0.563;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-383 b;Kepler-383;Раскаленный каменистый мир;2.65;1.32;6.34;550;12.90;0.096;0.930;0.564;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 179 c;GJ 179;Раскаленный каменистый мир;3.00;1.46;5.36;525;3.48;0.032;0.838;0.564;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-249 b;Kepler-249;Раскаленный каменистый мир;1.30;1.09;5.52;594;3.31;0.034;0.973;0.565;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2020-BLG-0414L b;KMT-2020-BLG-0414L;Раскаленный каменистый мир;1.87;1.14;6.91;579;4.20;0.040;0.765;0.568;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-345 c;Kepler-345;Раскаленный каменистый мир;1.63;1.20;5.19;567;9.39;0.076;0.875;0.568;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
G 264-012 b;G 264-012;Раскаленный каменистый мир;3.33;1.36;7.29;536;2.31;0.023;0.750;0.568;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 23472 f;HD 23472;Раскаленный каменистый мир;0.77;1.14;2.89;578;12.16;0.091;0.432;0.569;Оригинал;Оригинал
LP 791-18 b;LP 791-18;Раскаленный каменистый мир;2.17;1.21;6.73;563;0.95;0.010;0.822;0.569;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
L 98-59 b;L 98-59;Раскаленный каменистый мир;0.46;0.84;4.32;566;2.25;0.022;0.820;0.570;Оригинал;Оригинал
Kepler-186 b;Kepler-186;Раскаленный каменистый мир;1.22;1.07;5.47;590;3.89;0.038;0.970;0.571;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1450 Ac;TOI-1450 A;Раскаленный каменистый мир;3.10;1.33;7.20;537;5.07;0.045;0.761;0.571;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-125 c;Kepler-125;Раскаленный каменистый мир;0.59;0.74;7.96;533;5.77;0.051;0.414;0.572;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LHS 1815 b;LHS 1815;Раскаленный каменистый мир;1.58;1.09;6.76;583;3.81;0.038;0.778;0.573;Оригинал;Оригинал
Kepler-1441 b;Kepler-1441;Раскаленный каменистый мир;2.93;1.31;7.19;537;39.44;0.227;0.757;0.575;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
L 98-59 g;L 98-59;Раскаленный каменистый мир;1.27;0.96;7.88;590;1.74;0.019;0.513;0.576;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-406 c;TOI-406;Раскаленный каменистый мир;2.08;1.32;4.98;533;3.31;0.032;0.799;0.576;Оригинал;Оригинал
Kepler-383 Ab;Kepler-383 A;Раскаленный каменистый мир;2.72;1.32;6.48;532;12.90;0.094;0.902;0.577;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KOI-4896 c;2MASS J19233610+4844461;Раскаленный каменистый мир;4.54;1.48;7.73;504;49.54;0.264;0.694;0.578;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-295 d;Kepler-295;Раскаленный каменистый мир;3.49;1.36;7.65;523;33.88;0.200;0.678;0.578;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2019-BLG-0960L b;OGLE-2019-BLG-0960L;Раскаленный каменистый мир;2.50;1.27;6.69;536;6.10;0.052;0.846;0.581;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2016-BLG-0007 b;OGLE-2016-BLG-0007;Раскаленный каменистый мир;1.32;1.05;6.26;579;6.47;0.057;0.867;0.582;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-270 b;TOI-270;Раскаленный каменистый мир;1.48;1.28;3.89;533;3.36;0.032;0.591;0.582;Оригинал;Оригинал
Kepler-1223 b;Kepler-1223;Раскаленный каменистый мир;2.17;1.22;6.58;544;16.30;0.117;0.854;0.583;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-349 b;K2-349;Раскаленный каменистый мир;2.60;1.38;5.45;514;9.03;0.069;0.877;0.583;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LHS 1478 b;LHS 1478;Раскаленный каменистый мир;2.33;1.24;6.70;538;1.95;0.019;0.836;0.584;Оригинал;Оригинал
Kepler-42 d;Kepler-42;Раскаленный каменистый мир;0.24;0.57;7.20;455;1.87;0.015;0.491;0.585;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-4559 b;TOI-4559;Раскаленный каменистый мир;2.90;1.42;5.65;506;3.97;0.036;0.906;0.585;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-333 Ab;Kepler-333 A;Раскаленный каменистый мир;2.84;1.34;6.50;519;12.55;0.094;0.903;0.585;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-42 b;Kepler-42;Раскаленный каменистый мир;0.45;0.78;5.20;525;1.21;0.011;0.984;0.588;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-540 b;TOI-540;Раскаленный каменистый мир;0.99;0.90;7.43;558;1.24;0.012;0.582;0.589;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-395 b;Kepler-395;Раскаленный каменистый мир;1.52;1.03;7.64;573;7.05;0.060;0.583;0.590;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 1132 b;GJ 1132;Раскаленный каменистый мир;1.84;1.19;5.98;534;1.63;0.016;0.965;0.595;Оригинал;Оригинал
KOI-6653 b;2MASS J19303502+4121109;Раскаленный каменистый мир;2.06;1.22;6.22;528;28.27;0.178;0.925;0.595;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1470 b;Kepler-1470;Раскаленный каменистый мир;1.69;1.07;7.59;558;16.30;0.117;0.607;0.595;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-332 c;Kepler-332;Раскаленный каменистый мир;1.19;1.09;5.07;552;16.00;0.112;0.883;0.596;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-378 b;Kepler-378;Раскаленный каменистый мир;0.50;0.75;6.51;505;16.09;0.111;0.708;0.597;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-167 Ad;Kepler-167 A;Раскаленный каменистый мир;2.66;1.24;7.71;521;21.80;0.140;0.633;0.598;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KOI-6664 b;2MASS J19095216+4128178;Раскаленный каменистый мир;1.04;0.96;6.40;559;14.76;0.109;0.809;0.599;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-353 b;Kepler-353;Раскаленный каменистый мир;0.91;0.89;7.09;541;5.80;0.051;0.646;0.600;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-771 b;TOI-771;Раскаленный каменистый мир;2.47;1.36;5.41;497;2.33;0.021;0.874;0.600;Оригинал;Оригинал
Kepler-362 c;Kepler-362;Раскаленный каменистый мир;4.09;1.45;7.40;480;37.87;0.204;0.753;0.602;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1450 A c;TOI-1450 A;Раскаленный каменистый мир;2.91;1.34;6.71;495;5.07;0.045;0.860;0.605;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1965 b;Kepler-1965;Раскаленный каменистый мир;2.92;1.35;6.48;492;41.87;0.230;0.911;0.606;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-400 b;K2-400;Раскаленный каменистый мир;1.65;1.16;5.77;523;3.87;0.035;1.000;0.608;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-300 b;K2-300;Раскаленный каменистый мир;1.08;1.01;5.80;553;2.88;0.028;0.945;0.609;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-54 Bb;K2-54 B;Раскаленный каменистый мир;2.03;1.15;7.25;522;9.78;0.076;0.700;0.611;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-354 c;Kepler-354;Раскаленный каменистый мир;3.07;1.31;7.52;494;16.93;0.116;0.691;0.611;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1505 b;Kepler-1505;Раскаленный каменистый мир;1.08;0.93;7.41;536;30.86;0.188;0.596;0.612;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-138 b;Kepler-138;Раскаленный каменистый мир;0.07;0.64;1.47;451;10.31;0.075;0.330;0.612;Оригинал;Оригинал
Kepler-327 c;Kepler-327;Раскаленный каменистый мир;1.48;1.03;7.46;544;5.21;0.047;0.621;0.613;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 3929 b;GJ 3929;Раскаленный каменистый мир;1.75;1.09;7.45;531;2.62;0.025;0.642;0.613;Оригинал;Оригинал
Kepler-353 c;Kepler-353;Раскаленный каменистый мир;2.85;1.38;5.97;477;8.41;0.065;0.980;0.614;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-5489 c;TOI-5489;Раскаленный каменистый мир;2.12;1.28;5.58;494;4.92;0.042;0.929;0.615;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-4616 b;TOI-4616;Раскаленный каменистый мир;2.25;1.22;6.84;502;1.55;0.015;0.803;0.617;Оригинал;Оригинал
GJ 674 b;GJ 674;Раскаленный каменистый мир;2.73;1.34;6.19;480;4.69;0.039;0.966;0.617;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LHS 475 b;LHS 475;Раскаленный каменистый мир;1.34;0.99;7.61;542;2.03;0.020;0.576;0.618;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2023-BLG-1866L b;KMT-2023-BLG-1866L;Раскаленный каменистый мир;2.63;1.25;7.38;495;6.85;0.056;0.703;0.618;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-167 d;Kepler-167;Раскаленный каменистый мир;2.03;1.24;5.91;497;21.80;0.140;0.993;0.619;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-237 c;TOI-237;Раскаленный каменистый мир;2.15;1.21;6.75;502;1.74;0.016;0.816;0.620;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-779 Ab;Kepler-779 A;Раскаленный каменистый мир;0.50;0.74;6.86;476;7.10;0.056;0.635;0.620;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
L 98-59 c;L 98-59;Раскаленный каменистый мир;2.00;1.33;4.69;480;3.69;0.031;0.739;0.620;Оригинал;Оригинал
Kepler-1735 b;Kepler-1735;Раскаленный каменистый мир;1.94;1.19;6.29;502;7.72;0.062;0.905;0.621;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2017-BLG-0173L b;OGLE-2017-BLG-0173L;Раскаленный каменистый мир;3.27;1.40;6.62;465;4.94;0.042;0.894;0.623;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
AU Mic d;AU Mic;Раскаленный каменистый мир;1.05;1.30;2.62;479;12.74;0.085;0.331;0.625;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2017-BLG-1194L b;KMT-2017-BLG-1194L;Раскаленный каменистый мир;3.54;1.41;6.99;461;5.19;0.044;0.823;0.625;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1505 Ab;Kepler-1505 A;Раскаленный каменистый мир;1.07;0.93;7.31;515;30.86;0.188;0.617;0.630;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-302 b;K2-302;Раскаленный каменистый мир;0.89;0.90;6.80;507;2.25;0.020;0.707;0.630;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-303 c;Kepler-303;Раскаленный каменистый мир;1.39;1.14;5.16;501;7.06;0.058;0.887;0.631;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1456 Ab;Kepler-1456 A;Раскаленный каменистый мир;3.10;1.41;6.10;455;18.14;0.116;0.998;0.631;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-398 c;Kepler-398;Раскаленный каменистый мир;1.09;1.01;5.84;527;11.42;0.087;0.937;0.631;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-388 c;Kepler-388;Раскаленный каменистый мир;0.75;0.86;6.52;496;13.30;0.094;0.749;0.632;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1948 Ab;Kepler-1948 A;Раскаленный каменистый мир;1.26;1.03;6.34;521;15.57;0.104;0.844;0.632;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-130 Ad;Kepler-130 A;Раскаленный каменистый мир;3.58;1.38;7.51;458;87.52;0.397;0.711;0.632;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-186 c;Kepler-186;Раскаленный каменистый мир;2.32;1.25;6.53;479;7.27;0.057;0.872;0.633;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 357 b;GJ 357;Раскаленный каменистый мир;2.26;1.20;7.21;486;3.93;0.034;0.723;0.635;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-333 b;Kepler-333;Раскаленный каменистый мир;3.00;1.32;7.19;463;12.55;0.088;0.760;0.637;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-80 g;Kepler-80;Раскаленный каменистый мир;1.77;1.13;6.75;496;14.65;0.110;0.793;0.637;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 806 c;GJ 806;Раскаленный каменистый мир;2.53;1.36;5.51;450;6.64;0.051;0.894;0.643;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-388 Ac;Kepler-388 A;Раскаленный каменистый мир;0.74;0.86;6.33;484;13.30;0.092;0.788;0.643;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 206215704 b;EPIC 206215704;Раскаленный каменистый мир;1.03;1.00;5.67;510;2.26;0.020;0.969;0.647;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 4274 b;GJ 4274;Раскаленный каменистый мир;1.30;0.99;7.31;501;1.63;0.015;0.638;0.655;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LHS 1678 c;LHS 1678;Раскаленный каменистый мир;1.08;0.94;7.16;487;3.69;0.033;0.650;0.657;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
G 268-110 b;G 268-110;Раскаленный каменистый мир;1.49;1.12;5.89;476;1.43;0.013;0.960;0.658;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1423 b;Kepler-1423;Раскаленный каменистый мир;1.44;1.06;6.65;486;23.96;0.150;0.792;0.659;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LTT 1445 Ac;LTT 1445 A;Раскаленный каменистый мир;1.54;1.15;5.63;470;3.12;0.027;0.977;0.659;Оригинал;Оригинал
Kepler-384 c;Kepler-384;Раскаленный каменистый мир;1.55;1.13;5.92;469;45.35;0.243;0.959;0.663;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LTT 1445 A c;LTT 1445 A;Раскаленный каменистый мир;1.54;1.15;5.62;465;3.12;0.027;0.976;0.664;Оригинал;Оригинал
TOI-2267 Ad;TOI-2267 A;Раскаленный каменистый мир;1.23;0.98;7.22;487;2.03;0.017;0.652;0.665;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 3779 b;GJ 3779;Раскаленный каменистый мир;1.77;1.07;7.98;477;3.02;0.026;0.527;0.666;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1512 Ab;Kepler-1512 A;Раскаленный каменистый мир;2.10;1.18;7.08;456;20.36;0.131;0.740;0.667;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-779 b;Kepler-779;Раскаленный каменистый мир;0.88;0.92;6.20;471;7.10;0.056;0.835;0.669;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-302 d;K2-302;Раскаленный каменистый мир;1.24;1.10;5.18;466;2.91;0.024;0.902;0.671;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-446 c;Kepler-446;Раскаленный каменистый мир;1.59;1.11;6.39;461;3.04;0.025;0.859;0.675;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 206032309 b;EPIC 206032309;Раскаленный каменистый мир;1.33;1.01;7.10;470;2.88;0.024;0.686;0.684;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-2267 Ab;TOI-2267 A;Раскаленный каменистый мир;1.33;1.01;7.12;468;2.29;0.019;0.681;0.687;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Luyten's Star b;Luyten's Star;Обитаемая Земля;2.93;1.40;5.89;274;18.64;0.091;0.958;0.865;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 1061 d;GJ 1061;Обитаемая Земля;1.67;1.19;5.50;222;13.07;0.054;0.939;0.881;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-442 b;Kepler-442;Обитаемая Земля;3.05;1.34;6.97;241;112.31;0.386;0.809;0.888;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2023-BLG-1746 b;KMT-2023-BLG-1746;Обитаемая Земля;2.23;1.23;6.64;282;6.38;0.032;0.844;0.889;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1229 Ab;Kepler-1229 A;Обитаемая Земля;2.54;1.34;5.82;247;86.83;0.316;0.961;0.900;Оригинал;Оригинал
K2-72 e;K2-72;Обитаемая Земля;2.62;1.29;6.73;262;24.16;0.106;0.844;0.912;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TRAPPIST-1 e;TRAPPIST-1;Обитаемая Земля;0.69;0.92;4.90;228;6.10;0.029;0.905;0.919;Оригинал;Оригинал
TOI-700 d;TOI-700;Обитаемая Земля;1.43;1.07;6.36;244;37.42;0.163;0.853;0.959;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 220554210 c;K2-282;Мир-Океан;3.13;1.60;4.22;2011;0.71;0.015;0.574;0.175;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1408 c;TOI-1408;Мир-Океан;7.60;2.22;3.83;1762;2.17;0.036;0.366;0.175;Оригинал;Оригинал
K2-409 b;K2-409;Мир-Океан;8.66;2.48;3.12;1650;1.91;0.029;0.177;0.178;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1949 b;Kepler-1949;Мир-Океан;6.08;2.22;3.06;1708;2.21;0.035;0.213;0.180;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1613 b;Kepler-1613;Мир-Океан;6.80;2.08;4.17;1721;1.52;0.027;0.460;0.184;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1072 b;Kepler-1072;Мир-Океан;3.29;1.58;4.59;1874;1.57;0.028;0.654;0.187;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HIP 68468 Ab;HIP 68468 A;Мир-Океан;6.56;2.23;3.28;1634;1.84;0.030;0.255;0.188;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1932 b;Kepler-1932;Мир-Океан;2.76;1.51;4.37;1892;0.52;0.012;0.626;0.188;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 86081 b;HD 86081;Мир-Океан;5.31;1.88;4.37;1701;2.14;0.035;0.542;0.193;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1317 b;Kepler-1317;Мир-Океан;2.98;1.56;4.33;1794;0.57;0.013;0.607;0.196;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 24085 b;HD 24085;Мир-Океан;4.14;1.70;4.69;1723;2.05;0.034;0.647;0.198;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-142 b;Kepler-142;Мир-Океан;6.06;1.99;4.24;1612;2.02;0.032;0.493;0.198;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 196067 c;HD 196067;Мир-Океан;9.13;2.43;3.49;1468;4.60;0.057;0.258;0.200;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 158259 b;HD 158259;Мир-Океан;7.04;2.03;4.63;1573;2.18;0.034;0.564;0.201;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-828 b;Kepler-828;Мир-Океан;2.93;1.51;4.68;1743;0.57;0.013;0.690;0.204;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1066 b;Kepler-1066;Мир-Океан;7.43;2.36;3.12;1448;1.93;0.030;0.197;0.205;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1228 b;Kepler-1228;Мир-Океан;3.14;1.54;4.74;1718;0.58;0.012;0.694;0.205;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 155918 Ab;HD 155918 A;Мир-Океан;6.39;2.17;3.43;1497;1.90;0.030;0.295;0.205;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1856 Ab;Kepler-1856 A;Мир-Океан;4.24;1.73;4.48;1639;1.30;0.022;0.596;0.206;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
CoRoT-7 b;CoRoT-7;Мир-Океан;4.08;1.68;4.73;1650;0.85;0.016;0.657;0.206;Оригинал;Оригинал
TOI-1839 b;TOI-1839;Мир-Океан;8.19;2.22;4.12;1472;1.22;0.022;0.424;0.207;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 217786 c;HD 217786;Мир-Океан;6.40;1.99;4.44;1533;2.52;0.038;0.533;0.207;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1117 b;TOI-1117;Мир-Океан;8.90;2.46;3.29;1400;2.23;0.033;0.215;0.208;Оригинал;Оригинал
